pair_1	pair_2	category	coarse_bound_m	final_bound_m	refined	passed
openarm_left_link0	openarm_left_link4	intra_or_fixed	0.1363067135397092	0.1363067135397092	false	true
openarm_left_link0	openarm_left_link5	intra_or_fixed	0.25905649572965983	0.25905649572965983	false	true
openarm_left_link0	openarm_left_link6	intra_or_fixed	0.3426335031343942	0.3426335031343942	false	true
openarm_left_link0	openarm_left_link7	intra_or_fixed	0.36455576688990765	0.36455576688990765	false	true
openarm_left_link0	openarm_left_right_finger	intra_or_fixed	0.46974630392765293	0.46974630392765293	false	true
openarm_left_link0	openarm_right_hand	interarm	0.47198163880818544	0.47198163880818544	false	true
openarm_left_link0	openarm_right_left_finger	interarm	0.4935092011483647	0.4935092011483647	false	true
openarm_left_link0	openarm_right_link0	interarm	0.0616947794748829	0.0616947794748829	false	true
openarm_left_link0	openarm_right_link1	interarm	0.12412499691996198	0.12412499691996198	false	true
openarm_left_link0	openarm_right_link2	interarm	0.13394299019492897	0.13394299019492897	false	true
openarm_left_link0	openarm_right_link3	interarm	0.14643038219690319	0.14643038219690319	false	true
openarm_left_link0	openarm_right_link4	interarm	0.1874934741796749	0.1874934741796749	false	true
openarm_left_link0	openarm_right_link5	interarm	0.2880931257882346	0.2880931257882346	false	true
openarm_left_link0	openarm_right_link6	interarm	0.3673200744030879	0.3673200744030879	false	true
openarm_left_link0	openarm_right_link7	interarm	0.40039456264363504	0.40039456264363504	false	true
openarm_left_link0	openarm_right_right_finger	interarm	0.4790926527460586	0.4790926527460586	false	true
openarm_left_link1	openarm_left_link3	intra_or_fixed	0.01311724612958013	0.01311724612958013	false	true
openarm_left_link1	openarm_left_link4	intra_or_fixed	0.13921247789339433	0.13921247789339433	false	true
openarm_left_link1	openarm_left_link5	intra_or_fixed	0.2600837727537144	0.2600837727537144	false	true
openarm_left_link1	openarm_left_link6	intra_or_fixed	0.3476488801529062	0.3476488801529062	false	true
openarm_left_link1	openarm_left_link7	intra_or_fixed	0.35807716807600976	0.35807716807600976	false	true
openarm_left_link1	openarm_left_right_finger	intra_or_fixed	0.47144876757371307	0.47144876757371307	false	true
openarm_left_link1	openarm_right_hand	interarm	0.5019529673660746	0.5019529673660746	false	true
openarm_left_link1	openarm_right_left_finger	interarm	0.5330340575312245	0.5330340575312245	false	true
openarm_left_link1	openarm_right_link0	interarm	0.12412499894315274	0.12412499894315274	false	true
openarm_left_link1	openarm_right_link1	interarm	0.18655508100575588	0.18655508100575588	false	true
openarm_left_link1	openarm_right_link2	interarm	0.19635630009268282	0.19635630009268282	false	true
openarm_left_link1	openarm_right_link3	interarm	0.2100237084058725	0.2100237084058725	false	true
openarm_left_link1	openarm_right_link4	interarm	0.24560815257871843	0.24560815257871843	false	true
openarm_left_link1	openarm_right_link5	interarm	0.3347391615485222	0.3347391615485222	false	true
openarm_left_link1	openarm_right_link6	interarm	0.4095290599432578	0.4095290599432578	false	true
openarm_left_link1	openarm_right_link7	interarm	0.44708186014374834	0.44708186014374834	false	true
openarm_left_link1	openarm_right_right_finger	interarm	0.5148068367823188	0.5148068367823188	false	true
openarm_left_link2	openarm_left_link4	intra_or_fixed	0.12063052376266503	0.12063052376266503	false	true
openarm_left_link2	openarm_left_link5	intra_or_fixed	0.24414449848983058	0.24414449848983058	false	true
openarm_left_link2	openarm_left_link6	intra_or_fixed	0.33197201597311254	0.33197201597311254	false	true
openarm_left_link2	openarm_left_link7	intra_or_fixed	0.34189900481392843	0.34189900481392843	false	true
openarm_left_link2	openarm_left_right_finger	intra_or_fixed	0.4562866260747556	0.4562866260747556	false	true
openarm_left_link2	openarm_right_hand	interarm	0.490545439711147	0.490545439711147	false	true
openarm_left_link2	openarm_right_left_finger	interarm	0.5266941657947918	0.5266941657947918	false	true
openarm_left_link2	openarm_right_link0	interarm	0.13393183135189551	0.13393183135189551	false	true
openarm_left_link2	openarm_right_link1	interarm	0.19634506695241782	0.19634506695241782	false	true
openarm_left_link2	openarm_right_link2	interarm	0.20614621586714674	0.20614621586714674	false	true
openarm_left_link2	openarm_right_link3	interarm	0.22751979838996167	0.22751979838996167	false	true
openarm_left_link2	openarm_right_link4	interarm	0.25549603668618465	0.25549603668618465	false	true
openarm_left_link2	openarm_right_link5	interarm	0.3344518848147234	0.3344518848147234	false	true
openarm_left_link2	openarm_right_link6	interarm	0.4057189784618255	0.4057189784618255	false	true
openarm_left_link2	openarm_right_link7	interarm	0.4459474628303192	0.4459474628303192	false	true
openarm_left_link2	openarm_right_right_finger	interarm	0.5063129148025699	0.5063129148025699	false	true
openarm_left_link3	openarm_left_link5	intra_or_fixed	0.06736493116269635	0.06736493116269635	false	true
openarm_left_link3	openarm_left_link6	intra_or_fixed	0.1557999696879084	0.1557999696879084	false	true
openarm_left_link3	openarm_left_link7	intra_or_fixed	0.16647470731409197	0.16647470731409197	false	true
openarm_left_link3	openarm_left_right_finger	intra_or_fixed	0.2823923466348101	0.2823923466348101	false	true
openarm_left_link3	openarm_right_hand	interarm	0.3245204108179033	0.3245204108179033	false	true
openarm_left_link3	openarm_right_left_finger	interarm	0.37846975559602036	0.37846975559602036	false	true
openarm_left_link3	openarm_right_link0	interarm	0.14625225218393864	0.14625225218393864	false	true
openarm_left_link3	openarm_right_link1	interarm	0.20992073185740803	0.20992073185740803	false	true
openarm_left_link3	openarm_right_link2	interarm	0.22796708046101244	0.22796708046101244	false	true
openarm_left_link3	openarm_right_link3	interarm	0.2292538533508739	0.2292538533508739	false	true
openarm_left_link3	openarm_right_link4	interarm	0.2203197627471366	0.2203197627471366	false	true
openarm_left_link3	openarm_right_link5	interarm	0.23039343374232318	0.23039343374232318	false	true
openarm_left_link3	openarm_right_link6	interarm	0.27502151694232413	0.27502151694232413	false	true
openarm_left_link3	openarm_right_link7	interarm	0.31314813754128623	0.31314813754128623	false	true
openarm_left_link3	openarm_right_right_finger	interarm	0.3503498679934776	0.3503498679934776	false	true
openarm_left_link4	openarm_left_link6	intra_or_fixed	0.08914005742530581	0.08914005742530581	false	true
openarm_left_link4	openarm_left_link7	intra_or_fixed	0.09989582029096793	0.09989582029096793	false	true
openarm_left_link4	openarm_left_right_finger	intra_or_fixed	0.21607322815654942	0.21607322815654942	false	true
openarm_left_link4	openarm_right_hand	interarm	0.26417547086033255	0.26417547086033255	false	true
openarm_left_link4	openarm_right_left_finger	interarm	0.3262930762832272	0.3262930762832272	false	true
openarm_left_link4	openarm_right_link0	interarm	0.1871060692401379	0.1871060692401379	false	true
openarm_left_link4	openarm_right_link1	interarm	0.2452470512631631	0.2452470512631631	false	true
openarm_left_link4	openarm_right_link2	interarm	0.25518209805355246	0.25518209805355246	false	true
openarm_left_link4	openarm_right_link3	interarm	0.22032124462352468	0.22032124462352468	false	true
openarm_left_link4	openarm_right_link4	interarm	0.21112519924344136	0.21112519924344136	false	true
openarm_left_link4	openarm_right_link5	interarm	0.2095114996964888	0.2095114996964888	false	true
openarm_left_link4	openarm_right_link6	interarm	0.2336163677388049	0.2336163677388049	false	true
openarm_left_link4	openarm_right_link7	interarm	0.2641760228148422	0.2641760228148422	false	true
